,W1,W2,W3,Epsilon,l
squares80_Ddrez_14_dual,2e-06,0.985774,0.014224,20.141429,20.277361
squares80_Ddrez_15,1e-06,0.9847,0.015299,20.152205,20.298335
squares80_Ddrez_15_dual,1e-06,0.9847,0.015299,20.152205,20.298335
squares80_Ddrez_16,2e-06,0.983822,0.016176,20.160995,20.315427
squares80_Ddrez_16_dual,2e-06,0.983822,0.016176,20.160995,20.315427
squares80_Ddrez_17,1e-06,0.987457,0.012541,20.124596,20.244553
squares80_Ddrez_17_dual,1e-06,0.987457,0.012541,20.124596,20.244553
squares80_Ddrez_18,2e-06,0.985384,0.014614,20.145339,20.284974
squares80_Ddrez_18_dual,2e-06,0.985384,0.014614,20.145339,20.284974
squares80_Ddrez_19,1e-06,0.988784,0.011215,20.111345,20.218689
squares80_Ddrez_19_dual,1e-06,0.988784,0.011215,20.111345,20.218689
squares80_Ddrez_1_dual,2e-06,0.972254,0.027744,20.277733,20.541011
squares80_Ddrez_2,2e-06,0.970678,0.02932,20.293737,20.571734
squares80_Ddrez_20,2e-06,0.988458,0.01154,20.114596,20.225038
squares80_Ddrez_20_dual,2e-06,0.988458,0.01154,20.114596,20.225038
squares80_Ddrez_21,2e-06,0.991349,0.008649,20.085761,20.168656
squares80_Ddrez_21_dual,2e-06,0.991349,0.008649,20.085761,20.168656
squares80_Ddrez_22,1e-06,0.991675,0.008323,20.082517,20.162302
squares80_Ddrez_22_dual,1e-06,0.991675,0.008323,20.082517,20.162302
squares80_Ddrez_23,2e-06,0.993422,0.006577,20.065144,20.128242
squares80_Ddrez_23_dual,2e-06,0.993422,0.006577,20.065144,20.128242
squares80_Ddrez_24,2e-06,0.994879,0.005119,20.050669,20.099819
squares80_Ddrez_24_dual,2e-06,0.994879,0.005119,20.050669,20.099819
squares80_Ddrez_25,1e-06,0.996639,0.003359,20.03322,20.065502
squares80_Ddrez_25_dual,1e-06,0.996639,0.003359,20.03322,20.065502
squares80_Ddrez_26,1e-06,0.995933,0.004065,20.040218,20.079271
squares80_Ddrez_26_dual,1e-06,0.995933,0.004065,20.040218,20.079271
squares80_Ddrez_27,1e-06,0.998264,0.001735,20.017146,20.033835
squares80_Ddrez_27_dual,1e-06,0.998264,0.001735,20.017146,20.033835
squares80_Ddrez_28,1e-06,0.998029,0.001969,20.019462,20.038401
squares80_Ddrez_28_dual,1e-06,0.998029,0.001969,20.019462,20.038401
squares80_Ddrez_29,2e-06,0.999998,0.0,20.0,20.000001
squares80_Ddrez_29_dual,2e-06,0.999998,0.0,20.0,20.000001
squares80_Ddrez_2_dual,2e-06,0.970678,0.02932,20.293737,20.571734
squares80_Ddrez_3,2e-06,0.971867,0.028131,20.281663,20.54856
squares80_Ddrez_30,2e-06,0.999998,0.0,20.0,20.000001
squares80_Ddrez_30_dual,2e-06,0.999998,0.0,20.0,20.000001
squares80_Ddrez_3_dual,2e-06,0.971867,0.028131,20.281663,20.54856
squares80_Ddrez_4,2e-06,0.970853,0.029145,20.291961,20.568327
squares80_Ddrez_4_dual,2e-06,0.970853,0.029145,20.291961,20.568327
squares80_Ddrez_5,1e-06,0.976033,0.023966,20.239462,20.467341
squares80_Ddrez_5_dual,1e-06,0.976033,0.023966,20.239462,20.467341
squares80_Ddrez_6,2e-06,0.969245,0.030753,20.308322,20.599691
squares80_Ddrez_6_dual,2e-06,0.969245,0.030753,20.308322,20.599691
squares80_Ddrez_7,2e-06,0.982324,0.017674,20.176035,20.344636
squares80_Ddrez_7_dual,2e-06,0.982324,0.017674,20.176035,20.344636
squares80_Ddrez_8,2e-06,0.978735,0.021262,20.212157,20.414612
squares80_Ddrez_8_dual,2e-06,0.978735,0.021262,20.212157,20.414612
squares80_Ddrez_9,2e-06,0.976464,0.023534,20.23509,20.458909
squares80_Ddrez_9_dual,2e-06,0.976464,0.023534,20.23509,20.458909
squares81_Dhyper_1,0.0,0.968616,0.031384,20.568725,20.869825
squares81_Dhyper_10,0.0,0.977228,0.022772,20.480276,20.699751
squares81_Dhyper_10_dual,0.0,0.977228,0.022772,20.480276,20.699751
squares81_Dhyper_11,0.0,0.979333,0.020667,20.458771,20.658179
squares81_Dhyper_11_dual,0.0,0.979333,0.020667,20.458771,20.658179
squares81_Dhyper_12,0.0,0.978966,0.021034,20.462509,20.665412
squares81_Dhyper_12_dual,0.0,0.978966,0.021034,20.462509,20.665412
squares81_Dhyper_13,0.0,0.98196,0.01804,20.431991,20.606287
squares81_Dhyper_13_dual,0.0,0.98196,0.01804,20.431991,20.606287
squares81_Dhyper_14,0.0,0.982003,0.017997,20.431558,20.605446
squares81_Dhyper_14_dual,0.0,0.982003,0.017997,20.431558,20.605446
squares81_Dhyper_15,0.0,0.983086,0.016914,20.420533,20.584042
squares81_Dhyper_15_dual,0.0,0.983086,0.016914,20.420533,20.584042
squares81_Dhyper_16,0.0,0.983253,0.016747,20.418842,20.580756
squares81_Dhyper_16_dual,0.0,0.983253,0.016747,20.418842,20.580756
squares81_Dhyper_17,0.0,0.985969,0.014031,20.391267,20.527113
squares81_Dhyper_17_dual,0.0,0.985969,0.014031,20.391267,20.527113
squares81_Dhyper_18,0.0,0.986231,0.013769,20.38861,20.521936
squares81_Dhyper_18_dual,0.0,0.986231,0.013769,20.38861,20.521936
squares81_Dhyper_19,0.0,0.988089,0.011911,20.369794,20.485238
squares81_Dhyper_19_dual,0.0,0.988089,0.011911,20.369794,20.485238
squares81_Dhyper_1_dual,0.0,0.968616,0.031384,20.568725,20.869825
squares81_Dhyper_2,0.0,0.967879,0.032121,20.576338,20.884394
squares81_Dhyper_20,0.0,0.988464,0.011536,20.366001,20.477833
squares81_Dhyper_20_dual,0.0,0.988464,0.011536,20.366001,20.477833
squares81_Dhyper_21,0.0,0.990583,0.009417,20.344599,20.435993
squares81_Dhyper_21_dual,0.0,0.990583,0.009417,20.344599,20.435993
squares81_Dhyper_22,0.0,0.990406,0.009594,20.34638,20.439478
squares81_Dhyper_22_dual,0.0,0.990406,0.009594,20.34638,20.439478
squares81_Dhyper_23,0.0,0.992784,0.007216,20.322402,20.392508
squares81_Dhyper_23_dual,0.0,0.992784,0.007216,20.322402,20.392508
squares81_Dhyper_24,0.0,0.992454,0.007546,20.325728,20.399029
squares81_Dhyper_24_dual,0.0,0.992454,0.007546,20.325728,20.399029
squares81_Dhyper_25,0.0,0.995039,0.004961,20.299728,20.347988
squares81_Dhyper_25_dual,0.0,0.995039,0.004961,20.299728,20.347988
squares81_Dhyper_26,0.0,0.994958,0.005042,20.300534,20.349571
squares81_Dhyper_26_dual,0.0,0.994958,0.005042,20.300534,20.349571
squares81_Dhyper_27,0.0,0.99715,0.00285,20.27854,20.306296
squares81_Dhyper_27_dual,0.0,0.99715,0.00285,20.27854,20.306296
squares81_Dhyper_28,0.0,0.997156,0.002844,20.278479,20.306176
squares81_Dhyper_28_dual,0.0,0.997156,0.002844,20.278479,20.306176
squares81_Dhyper_29,0.0,0.999451,0.000549,20.255492,20.260845
squares81_Dhyper_29_dual,0.0,0.999451,0.000549,20.255492,20.260845
squares81_Dhyper_2_dual,0.0,0.967879,0.032121,20.576338,20.884394
squares81_Dhyper_3,0.0,0.971593,0.028407,20.538069,20.811045
squares81_Dhyper_30,0.0,0.999441,0.000559,20.255594,20.261047
squares81_Dhyper_30_dual,0.0,0.999441,0.000559,20.255594,20.261047
squares81_Dhyper_3_dual,0.0,0.971593,0.028407,20.538069,20.811045
squares81_Dhyper_4,0.0,0.971033,0.028967,20.54383,20.822105
squares81_Dhyper_4_dual,0.0,0.971033,0.028967,20.54383,20.822105
squares81_Dhyper_5,0.0,0.974178,0.025822,20.511513,20.759984
squares81_Dhyper_5_dual,0.0,0.974178,0.025822,20.511513,20.759984
squares81_Dhyper_6,0.0,0.97179,0.02821,20.536044,20.807156
squares81_Dhyper_6_dual,0.0,0.97179,0.02821,20.536044,20.807156
squares81_Dhyper_7,0.0,0.975673,0.024327,20.496193,20.730466
squares81_Dhyper_7_dual,0.0,0.975673,0.024327,20.496193,20.730466
squares81_Dhyper_8,0.0,0.973916,0.026084,20.514199,20.765154
squares81_Dhyper_8_dual,0.0,0.973916,0.026084,20.514199,20.765154
squares81_Dhyper_9,0.0,0.97747,0.02253,20.477798,20.694966
squares81_Dhyper_9_dual,0.0,0.97747,0.02253,20.477798,20.694966
ste36a,0.0,0.632687,0.367313,10.954359,12.122162
ste36a_dual,0.0,0.632687,0.367313,10.954359,12.122162
ste36b,0.0,0.508632,0.491368,11.82133,13.176626
ste36b_dual,0.0,0.508632,0.491368,11.82133,13.176626
ste36c,0.0,0.58529,0.41471,11.270151,12.525032
ste36c_dual,0.0,0.58529,0.41471,11.270151,12.525032
stf100ep1,0.0,0.596753,0.403247,31.233873,34.879554
stf100ep1_dual,0.0,0.596753,0.403247,31.233873,34.879554
stf100ep2,0.0,0.501266,0.498734,33.193829,37.218974
stf100ep2_dual,0.0,0.501266,0.498734,33.193829,37.218974
stf100ep3,0.0,0.923879,0.076121,25.978772,26.864954
stf100ep3_dual,0.0,0.923879,0.076121,25.978772,26.864954
stf100ep4,0.0,0.612469,0.387531,30.933248,34.494501
stf100ep4_dual,0.0,0.612469,0.387531,30.933248,34.494501
stf100ep5,0.0,0.631804,0.368196,30.571258,34.020802
stf100ep5_dual,0.0,0.631804,0.368196,30.571258,34.020802
stf100er1,0.0,0.94601,0.05399,25.686406,26.322766
stf100er1_dual,0.0,0.94601,0.05399,25.686406,26.322766
stf100er2,0.0,0.940869,0.059131,25.753735,26.448717
stf100er2_dual,0.0,0.940869,0.059131,25.753735,26.448717
stf100er3,0.0,0.714907,0.285093,29.107224,31.984781
stf100er3_dual,0.0,0.714907,0.285093,29.107224,31.984781
stf100er4,0.0,0.834474,0.165526,27.230949,29.055384
stf100er4_dual,0.0,0.834474,0.165526,27.230949,29.055384
stf100er5,0.0,0.714388,0.285612,29.115925,31.997486
stf100er5_dual,0.0,0.714388,0.285612,29.115925,31.997486
stf100es1,0.0,0.874392,0.125608,26.657272,28.077395
stf100es1_dual,0.0,0.874392,0.125608,26.657272,28.077395
stf100es2,0.0,0.790989,0.209011,27.884662,30.120763
stf100es2_dual,0.0,0.790989,0.209011,27.884662,30.120763
stf100es3,0.0,0.729468,0.270532,28.865015,31.628032
stf100es3_dual,0.0,0.729468,0.270532,28.865015,31.628032
stf100es4,0.0,0.63539,0.36461,30.505045,33.93294
stf100es4_dual,0.0,0.63539,0.36461,30.505045,33.93294
stf100es5,0.0,0.77128,0.22872,28.191404,30.60364
stf100es5_dual,0.0,0.77128,0.22872,28.191404,30.60364
stf100mp1,0.0,0.786929,0.213071,27.947307,30.220242
stf100mp1_dual,0.0,0.786929,0.213071,27.947307,30.220242
stf100mp2,0.0,0.442131,0.557869,34.535966,38.667789
stf100mp2_dual,0.0,0.442131,0.557869,34.535966,38.667789
stf100mp3,0.0,0.557682,0.442318,32.007165,35.836782
stf100mp3_dual,0.0,0.557682,0.442318,32.007165,35.836782
stf100mp4,0.0,0.60573,0.39427,31.061437,34.659603
stf100mp4_dual,0.0,0.60573,0.39427,31.061437,34.659603
stf100mp5,0.0,0.659161,0.340839,30.073307,33.350551
stf100mp5_dual,0.0,0.659161,0.340839,30.073307,33.350551
stf100mr1,0.0,0.795773,0.204227,27.811219,30.003568
stf100mr1_dual,0.0,0.795773,0.204227,27.811219,30.003568
stf100mr2,0.0,0.799784,0.200216,27.749924,29.905283
stf100mr2_dual,0.0,0.799784,0.200216,27.749924,29.905283
stf100mr3,0.0,0.769227,0.230773,28.223749,30.653946
stf100mr3_dual,0.0,0.769227,0.230773,28.223749,30.653946
stf100mr4,0.0,0.784196,0.215804,27.989636,30.287207
stf100mr4_dual,0.0,0.784196,0.215804,27.989636,30.287207
stf100mr5,0.0,0.775131,0.224869,28.130935,30.509282
stf100mr5_dual,0.0,0.775131,0.224869,28.130935,30.509282
stf100ms1,0.0,0.801458,0.198542,27.724425,29.864267
stf100ms1_dual,0.0,0.801458,0.198542,27.724425,29.864267
stf100ms2,0.0,0.550629,0.449371,32.150859,36.009582
stf100ms2_dual,0.0,0.550629,0.449371,32.150859,36.009582
stf100ms3,0.0,0.820756,0.179244,27.433846,29.391487
stf100ms3_dual,0.0,0.820756,0.179244,27.433846,29.391487
stf100ms4,0.0,0.670752,0.329248,29.867186,33.066569
stf100ms4_dual,0.0,0.670752,0.329248,29.867186,33.066569
stf100ms5,0.0,0.522181,0.477819,32.743783,36.706566
stf100ms5_dual,0.0,0.522181,0.477819,32.743783,36.706566
stf120ep1,0.0,0.787784,0.212216,33.527662,36.26038
stf120ep1_dual,0.0,0.787784,0.212216,33.527662,36.26038
stf120ep2,0.0,0.783361,0.216639,33.610025,36.390846
stf120ep2_dual,0.0,0.783361,0.216639,33.610025,36.390846
stf120ep3,0.0,0.739154,0.260846,34.456099,37.694947
stf120ep3_dual,0.0,0.739154,0.260846,34.456099,37.694947
stf120ep4,0.0,0.805407,0.194593,33.203428,35.74049
stf120ep4_dual,0.0,0.805407,0.194593,33.203428,35.74049
stf120ep5,0.0,0.759854,0.240146,34.054694,37.084319
stf120ep5_dual,0.0,0.759854,0.240146,34.054694,37.084319
stf120er1,0.0,0.842544,0.157456,32.540313,34.644966
stf120er1_dual,0.0,0.842544,0.157456,32.540313,34.644966
stf120er2,0.0,0.931873,0.068127,31.048741,32.009746
stf120er2_dual,0.0,0.931873,0.068127,31.048741,32.009746
stf120er3,0.0,0.704333,0.295667,35.153146,38.722183
stf120er3_dual,0.0,0.704333,0.295667,35.153146,38.722183
stf120er4,0.0,0.734056,0.265944,34.556416,37.845338
stf120er4_dual,0.0,0.734056,0.265944,34.556416,37.845338
stf120er5,0.0,0.838914,0.161086,32.603949,34.752031
stf120er5_dual,0.0,0.838914,0.161086,32.603949,34.752031
stf120es1,0.0,0.862131,0.137869,32.201122,34.067149
stf120es1_dual,0.0,0.862131,0.137869,32.201122,34.067149
stf120es2,0.0,0.745268,0.254732,34.336557,37.51459
stf120es2_dual,0.0,0.745268,0.254732,34.336557,37.51459
stf120es3,0.0,0.645453,0.354547,36.398227,40.459149
stf120es3_dual,0.0,0.645453,0.354547,36.398227,40.459149
stf120es4,0.0,0.414983,0.585017,42.256517,47.257995
stf120es4_dual,0.0,0.414983,0.585017,42.256517,47.257995
stf120es5,0.0,0.609387,0.390613,37.205389,41.523079
stf120es5_dual,0.0,0.609387,0.390613,37.205389,41.523079
stf120mp1,0.0,0.779767,0.220233,33.677252,36.496863
stf120mp1_dual,0.0,0.779767,0.220233,33.677252,36.496863
stf120mp2,0.0,0.785821,0.214179,33.564166,36.318283
stf120mp2_dual,0.0,0.785821,0.214179,33.564166,36.318283
stf120mp3,0.0,0.678013,0.321987,35.699004,39.498605
stf120mp3_dual,0.0,0.678013,0.321987,35.699004,39.498605
stf120mp4,0.0,0.53244,0.46756,39.053104,43.793005
stf120mp4_dual,0.0,0.53244,0.46756,39.053104,43.793005
stf120mp5,0.0,0.817761,0.182239,32.979852,35.376046
stf120mp5_dual,0.0,0.817761,0.182239,32.979852,35.376046
stf120mr1,0.0,0.817815,0.182185,32.978885,35.374459
stf120mr1_dual,0.0,0.817815,0.182185,32.978885,35.374459
stf120mr2,0.0,0.819048,0.180952,32.956739,35.338088
stf120mr2_dual,0.0,0.819048,0.180952,32.956739,35.338088
stf120mr3,0.0,0.805617,0.194383,33.199609,35.734306
stf120mr3_dual,0.0,0.805617,0.194383,33.199609,35.734306
stf120mr4,0.0,0.791165,0.208835,33.464969,36.16064
stf120mr4_dual,0.0,0.791165,0.208835,33.464969,36.16064
stf120mr5,0.0,0.804714,0.195286,33.216061,35.760937
stf120mr5_dual,0.0,0.804714,0.195286,33.216061,35.760937
stf120ms1,0.0,0.754859,0.245141,34.150688,37.231653
stf120ms1_dual,0.0,0.754859,0.245141,34.150688,37.231653
stf120ms2,0.0,0.781874,0.218126,33.637805,36.434707
stf120ms2_dual,0.0,0.781874,0.218126,33.637805,36.434707
stf120ms3,0.0,0.452531,0.547469,41.176792,46.150339
stf120ms3_dual,0.0,0.452531,0.547469,41.176792,46.150339
stf120ms4,0.0,0.52074,0.47926,39.350272,44.138179
stf120ms4_dual,0.0,0.52074,0.47926,39.350272,44.138179
stf120ms5,0.0,0.702624,0.297376,35.188072,38.772583
stf120ms5_dual,0.0,0.702624,0.297376,35.188072,38.772583
stf60ep1,0.0,0.752711,0.247289,17.075504,18.585685
stf60ep1_dual,0.0,0.752711,0.247289,17.075504,18.585685
stf60ep2,0.0,0.50302,0.49698,19.848582,22.206216
stf60ep2_dual,0.0,0.50302,0.49698,19.848582,22.206216
stf60ep3,0.0,0.757634,0.242366,17.028597,18.514301
stf60ep3_dual,0.0,0.757634,0.242366,17.028597,18.514301
stf60ep4,0.0,0.829944,0.170056,16.368167,17.465818
stf60ep4_dual,0.0,0.829944,0.170056,16.368167,17.465818
stf60ep5,0.0,0.909732,0.090268,15.696439,16.308892
stf60ep5_dual,0.0,0.909732,0.090268,15.696439,16.308892
stf60er1,0.0,0.675049,0.324951,17.851232,19.711795
stf60er1_dual,0.0,0.675049,0.324951,17.851232,19.711795
stf60er2,0.0,0.579882,0.420118,18.90356,21.091711
stf60er2_dual,0.0,0.579882,0.420118,18.90356,21.091711
stf60er3,0.0,0.890438,0.109562,15.853763,16.588646
stf60er3_dual,0.0,0.890438,0.109562,15.853763,16.588646
stf60er4,0.0,0.648709,0.351291,18.130576,20.093715
stf60er4_dual,0.0,0.648709,0.351291,18.130576,20.093715
stf60er5,0.0,0.824831,0.175169,16.413177,17.539955
stf60er5_dual,0.0,0.824831,0.175169,16.413177,17.539955
stf60es1,0.0,0.626976,0.373024,18.367736,20.408844
stf60es1_dual,0.0,0.626976,0.373024,18.367736,20.408844
stf60es2,0.0,0.603025,0.396975,18.636393,20.756134
stf60es2_dual,0.0,0.603025,0.396975,18.636393,20.756134
stf60es3,0.0,0.593262,0.406738,18.748172,20.897699
stf60es3_dual,0.0,0.593262,0.406738,18.748172,20.897699
stf60es4,0.0,0.677905,0.322095,17.821451,19.670372
stf60es4_dual,0.0,0.677905,0.322095,17.821451,19.670372
stf60es5,0.0,0.457063,0.542937,20.460147,22.87259
stf60es5_dual,0.0,0.457063,0.542937,20.460147,22.87259
stf60mp1,0.0,0.83164,0.16836,16.35329,17.441224
stf60mp1_dual,0.0,0.83164,0.16836,16.35329,17.441224
stf60mp2,0.0,0.751771,0.248229,17.084489,18.599314
stf60mp2_dual,0.0,0.751771,0.248229,17.084489,18.599314
stf60mp3,0.0,0.804418,0.195582,16.595374,17.835943
stf60mp3_dual,0.0,0.804418,0.195582,16.595374,17.835943
stf60mp4,0.0,0.641828,0.358172,18.205003,20.193495
stf60mp4_dual,0.0,0.641828,0.358172,18.205003,20.193495
stf60mp5,0.0,0.684538,0.315462,17.752689,19.574198
stf60mp5_dual,0.0,0.684538,0.315462,17.752689,19.574198
stf60mr1,0.0,0.769758,0.230242,16.914174,18.33851
stf60mr1_dual,0.0,0.769758,0.230242,16.914174,18.33851
stf60mr2,0.0,0.833,0.167,16.341378,17.4215
stf60mr2_dual,0.0,0.833,0.167,16.341378,17.4215
stf60mr3,0.0,0.776091,0.223909,16.855011,18.24668
stf60mr3_dual,0.0,0.776091,0.223909,16.855011,18.24668
stf60mr4,0.0,0.752512,0.247488,17.077405,18.58857
stf60mr4_dual,0.0,0.752512,0.247488,17.077405,18.58857
stf60mr5,0.0,0.809102,0.190898,16.553212,17.768028
stf60mr5_dual,0.0,0.809102,0.190898,16.553212,17.768028
stf60ms1,0.0,0.717147,0.282853,17.4222,19.101371
stf60ms1_dual,0.0,0.717147,0.282853,17.4222,19.101371
stf60ms2,0.0,0.658039,0.341961,18.03064,19.958442
stf60ms2_dual,0.0,0.658039,0.341961,18.03064,19.958442
stf60ms3,0.0,0.616177,0.383823,18.487908,20.565437
stf60ms3_dual,0.0,0.616177,0.383823,18.487908,20.565437
stf60ms4,0.0,0.684647,0.315353,17.751564,19.57262
stf60ms4_dual,0.0,0.684647,0.315353,17.751564,19.57262
stf60ms5,0.0,0.616909,0.383091,18.479711,20.554821
stf60ms5_dual,0.0,0.616909,0.383091,18.479711,20.554821
stf80ep1,0.0,0.593019,0.406981,25.028621,27.936136
stf80ep1_dual,0.0,0.593019,0.406981,25.028621,27.936136
stf80ep2,0.0,0.635563,0.364437,24.387629,27.106527
stf80ep2_dual,0.0,0.635563,0.364437,24.387629,27.106527
stf80ep3,0.0,0.838055,0.161945,21.737888,23.157923
stf80ep3_dual,0.0,0.838055,0.161945,21.737888,23.157923
stf80ep4,0.0,0.941849,0.058151,20.591114,21.133935
stf80ep4_dual,0.0,0.941849,0.058151,20.591114,21.133935
stf80ep5,0.0,0.920298,0.079702,20.819164,21.554192
stf80ep5_dual,0.0,0.920298,0.079702,20.819164,21.554192
stf80er1,0.0,0.748201,0.251799,22.83903,24.910089
stf80er1_dual,0.0,0.748201,0.251799,22.83903,24.910089
stf80er2,0.0,0.827923,0.172077,21.856712,23.355497
stf80er2_dual,0.0,0.827923,0.172077,21.856712,23.355497
stf80er3,0.0,0.748973,0.251027,22.82909,24.895029
stf80er3_dual,0.0,0.748973,0.251027,22.82909,24.895029
stf80er4,0.0,0.773899,0.226101,22.512876,24.40897
stf80er4_dual,0.0,0.773899,0.226101,22.512876,24.40897
stf80er5,0.0,0.652097,0.347903,24.147283,26.784104
stf80er5_dual,0.0,0.652097,0.347903,24.147283,26.784104
stf80es1,0.0,0.563977,0.436023,25.485892,28.502458
stf80es1_dual,0.0,0.563977,0.436023,25.485892,28.502458
stf80es2,0.0,0.50166,0.49834,26.525753,29.717622
stf80es2_dual,0.0,0.50166,0.49834,26.525753,29.717622
stf80es3,0.0,0.455629,0.544371,27.350058,30.615234
stf80es3_dual,0.0,0.455629,0.544371,27.350058,30.615234
stf80es4,0.0,0.267988,0.732012,31.31719,34.274238
stf80es4_dual,0.0,0.267988,0.732012,31.31719,34.274238
stf80es5,0.0,0.911926,0.088074,20.909119,21.717443
stf80es5_dual,0.0,0.911926,0.088074,20.909119,21.717443
stf80mp1,0.0,0.784942,0.215058,22.375565,24.19363
stf80mp1_dual,0.0,0.784942,0.215058,22.375565,24.19363
stf80mp2,0.0,0.719051,0.280949,23.220608,25.478496
stf80mp2_dual,0.0,0.719051,0.280949,23.220608,25.478496
stf80mp3,0.0,0.652865,0.347135,24.136238,26.769132
stf80mp3_dual,0.0,0.652865,0.347135,24.136238,26.769132
stf80mp4,0.0,0.724078,0.275922,23.153905,25.380485
stf80mp4_dual,0.0,0.724078,0.275922,23.153905,25.380485
stf80mp5,0.0,0.776936,0.223064,22.474941,24.349741
stf80mp5_dual,0.0,0.776936,0.223064,22.474941,24.349741
stf80mr1,0.0,0.788976,0.211024,22.325827,24.114973
stf80mr1_dual,0.0,0.788976,0.211024,22.325827,24.114973
stf80mr2,0.0,0.77845,0.22155,22.456084,24.320225
stf80mr2_dual,0.0,0.77845,0.22155,22.456084,24.320225
stf80mr3,0.0,0.826492,0.173508,21.873598,23.3834
stf80mr3_dual,0.0,0.826492,0.173508,21.873598,23.3834
stf80mr4,0.0,0.770421,0.229579,22.556467,24.476785
stf80mr4_dual,0.0,0.770421,0.229579,22.556467,24.476785
stf80mr5,0.0,0.769982,0.230018,22.561988,24.485355
stf80mr5_dual,0.0,0.769982,0.230018,22.561988,24.485355
stf80ms1,0.0,0.693736,0.306264,23.562503,25.972153
stf80ms1_dual,0.0,0.693736,0.306264,23.562503,25.972153
stf80ms2,0.0,0.727848,0.272152,23.104116,25.306959
stf80ms2_dual,0.0,0.727848,0.272152,23.104116,25.306959
stf80ms3,0.0,0.725027,0.274973,23.141347,25.36197
stf80ms3_dual,0.0,0.725027,0.274973,23.141347,25.36197
stf80ms4,0.0,0.701666,0.298334,23.454321,25.817507
stf80ms4_dual,0.0,0.701666,0.298334,23.454321,25.817507
stf80ms5,0.0,0.690279,0.309721,23.60997,26.039559
stf80ms5_dual,0.0,0.690279,0.309721,23.60997,26.039559
tai100a,0.0,0.984367,0.015633,25.19495,25.383015
tai100a_dual,0.0,0.984367,0.015633,25.19495,25.383015
tai100b,0.0,0.403541,0.596459,35.471914,39.613244
tai100b_dual,0.0,0.403541,0.596459,35.471914,39.613244
tai10a,0.0,0.862862,0.137138,2.662266,2.774276
tai10a_dual,0.0,0.862862,0.137138,2.662266,2.774276
tai10b,0.0,0.623691,0.376309,3.002096,3.252618
tai10b_dual,0.0,0.623691,0.376309,3.002096,3.252618
tai12a,0.0,0.730566,0.269434,3.418686,3.673585
tai12a_dual,0.0,0.730566,0.269434,3.418686,3.673585
tai12b,0.0,0.765704,0.234296,3.357576,3.585741
tai12b_dual,0.0,0.765704,0.234296,3.357576,3.585741
tai150b,0.0,0.852779,0.147221,40.458149,42.947162
tai150b_dual,0.0,0.852779,0.147221,40.458149,42.947162
tai15a,0.0,0.93969,0.06031,3.85803,3.946009
tai15a_dual,0.0,0.93969,0.06031,3.85803,3.946009
tai15b,0.0,6e-06,0.999994,6.999963,6.99998
tai15b_dual,0.0,6e-06,0.999994,6.999963,6.99998
tai17a,0.0,0.9263,0.0737,4.402077,4.526374
tai17a_dual,0.0,0.9263,0.0737,4.402077,4.526374
tai20a,0.0,0.914352,0.085648,5.211429,5.385417
tai20a_dual,0.0,0.914352,0.085648,5.211429,5.385417
tai20b,0.0,0.426158,0.573842,6.866434,7.582289
tai20b_dual,0.0,0.426158,0.573842,6.866434,7.582289
tai256c,0.0,1.0,0.0,64.0,64.0
tai256c_dual,0.0,1.0,0.0,64.0,64.0
tai25a,0.0,0.959661,0.040339,6.373187,6.481947
tai25a_dual,0.0,0.959661,0.040339,6.373187,6.481947
tai25b,0.0,0.804524,0.195476,6.895909,7.373986
tai25b_dual,0.0,0.804524,0.195476,6.895909,7.373986
tai30a,0.0,0.925606,0.074394,7.779393,8.02076
tai30a_dual,0.0,0.925606,0.074394,7.779393,8.02076
tai30b,0.0,0.972944,0.027056,7.599259,7.689394
tai30b_dual,0.0,0.972944,0.027056,7.599259,7.689394
tai35a,0.0,0.960351,0.039649,8.921666,9.077105
tai35a_dual,0.0,0.960351,0.039649,8.921666,9.077105
tai35b,0.0,0.861202,0.138798,9.381947,9.895081
tai35b_dual,0.0,0.861202,0.138798,9.381947,9.895081
tai40a,0.0,0.956552,0.043448,10.216248,10.412757
tai40a_dual,0.0,0.956552,0.043448,10.216248,10.412757
tai40b,0.0,0.886917,0.113083,10.583038,11.074288
tai40b_dual,0.0,0.886917,0.113083,10.583038,11.074288
tai50a,0.0,0.971731,0.028269,12.675508,12.839232
tai50a_dual,0.0,0.971731,0.028269,12.675508,12.839232
tai50b,0.0,0.948435,0.051565,12.823887,13.118786
tai50b_dual,0.0,0.948435,0.051565,12.823887,13.118786
tai60a,0.0,0.961171,0.038829,15.29185,15.563018
tai60a_dual,0.0,0.961171,0.038829,15.29185,15.563018
tai60b,0.0,0.67646,0.32354,17.836506,19.691329
tai60b_dual,0.0,0.67646,0.32354,17.836506,19.691329
tai64c,0.0,1.0,0.0,16.0,16.0
tai64c_dual,0.0,1.0,0.0,16.0,16.0
tai80a,0.0,0.978531,0.021469,20.214239,20.418638
tai80a_dual,0.0,0.978531,0.021469,20.214239,20.418638
tai80b,0.0,0.660907,0.339093,24.021144,26.612308
tai80b_dual,0.0,0.660907,0.339093,24.021144,26.612308
tcycle80_Ddrez_1,0.161738,0.830151,0.008111,20.03921,20.117722
tcycle80_Ddrez_10,0.086398,0.907089,0.006513,20.04252,20.105398
tcycle80_Ddrez_10_dual,0.086398,0.907089,0.006513,20.04252,20.105398
tcycle80_Ddrez_11,0.095562,0.895203,0.009235,20.067214,20.156193
tcycle80_Ddrez_11_dual,0.095562,0.895203,0.009235,20.067214,20.156193
